Period,SM Axis
122.76,0.4929
604.67,1.427
601.2,1.422
17.667087,0.1162
17.667,0.121
29.625,0.17
29.79749,0.1646
3.97664,0.04298
7.90754,0.068
12.1621839,0.0906
641.472,1.331
606.4,1.3
385.52775,1.035
383,1.03
385.9,1.032
385.54,1.044
379,1.1
379,1.02
20.8133,0.15
20.8133,0.1532
20.8079,0.1532
20.67,0.149
20.8,0.15
58.11289,0.3
58.11159,0.2977
58.11187,0.292
58.11247,0.2931
58.11212,0.3
58.1112,0.29
3.444717,0.03826
3.444729,0.03845
428.5,1.19
1.2137672,0.0116
1.21377022,0.0113
1.21377206,0.01153
1.21377022,0.0113
1.2137703,0.019
1.21377042,0.0113
1.21377022,0.0113
0.45328742,0.0059
0.45328799,0.00598
0.45328734,0.0058
0.45328734,0.0058
0.45328509,0.006
0.4532875,0.01
1.86511477,0.015
1.865169,0.0154
1.86511302,0.01535
1.86511477,0.015
1.8651086,0.025
1.86511477,0.015
1.86511419,0.0151
18.85019,0.1177
18.849975,0.1176
50.65905,0.234
44.236,0.2388
1008,0 1.922000
330,0.89
330,0.89
3.93404,0.05
3.93404,0.047
566,1.31
567.94,1.282
879.19,1.92
882.70001,1.89
2.985628,0.0406
2.98553,0.0375
2.985698,0.0406
2.9857,0.04
2.98565,0.039
2.985625,0.0406
2.98566,0.04067
71.484,0.34
71.479,0.3399
71.511,0.345
71.484,0.339
11.12214,0.099
1.548351,0.0251
0.4090677,0.0071
7.4341393,0.072
555.1,1.32
5.6,0.06
5.6,0.056
237.6,0.68
6.404,0.07
6.403,0.065
6.4045,0.06504
6.404,0.0659
63.33,0.33
63.33,0.33
1.0418777,0.0171
11.8482,0.0974
33.9239,0.1964
526.5239,1.28
526.62,1.28
10.35509,0.0682
10.35566,0.0631
21.01538,0.1093
35.12537,0.1539
17.66484,0.101
17.664872,0.101
28.17232,0.137
28.1722,0.138
575.9,1.35
572.38,1.347
572.38,1.34
572.537,1.335
649.918,1.487
14.32,0.13
14.31014,0.1329
14.30944,0.1294
14.3098,0.131
14.3102,0.1313
14.3099,0.115
14.3093,0.1313
21.998,0.14
22.017,0.148
21.998,0.14
19.288004,0.083
27.26955,0.1363
0.549372,0.00812
0.549374,0.012
723.2,1.48
4.948,0.0568
4.94737,0.06
4.94724,0.058
4.9437,0.058
4.94737,0.058
4.5445697,0.0354
7.3426,0.0756
13.18,0.112
45.85,0.2565
142.22895,0.534
21.89288,0.16
194.3,0.63
194.3,0.64
391.9,1.02
17.9904,0.125
18.01939,0.125
18.02,0.125
17.991,0.122
36.07,0.198
11.14529,0.163
181.4,0.7
10.05443,0.0679
10.05454,0.0777
10.05403,0.0769
10.054626,0.0778
10.05449,0.0769
10.0546535,0.0747
10.05448,0.074
10.05429,0.0775
24.64354,0.1399
24.6435,0.1235
24.6491,0.1405
24.64745,0.1345
24.646582,0.1414
24.646729,0.1357
24.6454,0.1399
24.64638,0.1413
44.55764,0.2097
44.556456,0.2097
44.55603,0.2014
44.55983,0.2076
44.5609,0.1833
44.5631,0.2076
44.5705,0.2086
892.7,1.913
623.8,1.42
6.00127,0.05712
6.00118,0.0571
6.00127,0.05706
335.1,0.995
345.4,1.01
335.10001,0.99
4.75642,0.05245
4.75615,0.0522
17.1784,0.1235
17.1784,0.1268
227.55,0.77
227,0.757
227,0.76
227.04,0.75
3.48456408,0.0287
6.0881,0.06
3.1342791,0.033548
129.97,0.51
130,0.49
130.08,0.524
6.6732,0.0662
6.6736,0.0662
3.38773,0.039
3.38773,0.04
4.5557,0.0498
10.924709,0.09
21.583298,0.141
3.98442,0.049
1.0662107,0.0204
5.0505,0.057
5.0505,0.06
5.7361,0.0614
5.7361,0.06
3.0966,0.042
3.0965886,0.04213
3.097,0.042
3.0965828,0.0426
3.0965971,0.04186
1.977143,0.025
214.67,0.7181
117.87,0.4817
49.175,0.2687
676.8,1.543
530.21,1.79
529.93,1.765
530.32,1.9
7.610303,0.06899
14.245648,0.10479
515.4,1.3
2.1974,0.0379
55.01292,0.277
55.01307,0.28
55.01307,0.2831
54.23,0.26
55.027,0.263
978.19,1.958
963.6,1.92
890.76,1.77
962.1,1.92
0.959641,0.01796
0.959632,0.01752
0.959624,0.0186
0.95965428,0.01802
0.959641,0.01815
29.8454,0.1776
29.8464948,0.1783
29.84622,0.1806
29.8454,0.1795
29.83832,0.1841
8.4112,0.0763
8.4783,0.07703
8.509,0.07757
96.63,0.3885
102.09,0.4048
0.548177,0.01189
0.5481579,0.0128
415.2,1.24
414.88,1.319
585.82,1.878
594.9,1.93
380.85001,0.95
380.85,0.947
359.51001,1.12
359.51,0.993
359.5546,1.096
0.7363104,0.0112
34.905,0.2099
34.95875,0.211
1.008035,0.02012
4.78503,0.056798
21.85849,0.167
3.5239,0.046
3.524746,0.04707
3.52476,0.04634
3.52474859,0.04747
3.5246,0.048
3.525,0.0467
3.5,0.047
3.52474859,0.04707
58.83,0.297
499.39999,1.28
499.4,1.28
3.1190633,0.025
6.38784,0.04
0.3711281,0.0064
1129,0 2.000000
41.83156,0.242
268.94,0.78
268.94,0.777
4.655411,0.048
77.181,0.3668
48.056,0.269
18.3267,0.1407
383.70001,1.03
383.7,1.03
383,1.06
412.6,1.3
418.17,1.304
417.67,1.22
420.77,1.32
3.06785234,0.0344
3.1,0.034
3.0678504,0.0346
3.06785952,0.03427
14.23283,0.118
3.8681382,0.04527
3.8681382,0.04525
3.8681382,0.04525
621.62,1.44
30.052,0.189
192.9,0.654
6.674,0.0692
6.6742,0.0692
6.673892,0.0696
6.67386,0.07
6.673855,0.0692
95.2847,0.407
147.747,0.549
147.73,0.545
952,1.89
981.8,1.94
456.46,1.19
462.59,1.187
461.2,1.203
492.3,1.2
223.41,0.774
170.455,0.639
223.95986,0.75
223.6,0.721
649,1.44
345.72,0.89
345.72,0.89
345.63,0.89
2.527093,0.0285
18.08816,0.106
6.83776,0.077
6.83785,0.08
6.838,0.077
6.8399,0.077
15.017,0.121
265.59,0.78
385.2,1.18
4.052037,0.0417
472,1.26
472.3,1.19
282.4,0.875
280.17,0.87
84.96276,0.406
103.95,0.45
103.95,0.45
8.88029,0.078
8.880403,0.0814
8.8803256,0.0804
28.579743,0.1752
28.5805,0.17
28.58059,0.1762
38.3561,0.215
38.353037,0.2132
38.3525,0.207
101.12,0.407
101.5,0.397
284,0.812
307.88,0.83
626.51599,1.49
634.23,1.52
625.1,1.486
625.09,1.508
626.5,1.51
635.4,1.525
624.87404,1.46
354.1,1.148
354.8,1.2
355.5,1.079
354.29,1.2
2.24571,0.03
2.245715,0.036
371.74,1.129
360.2,1.19
439.29999,1.11
439.3,1.105
441,1.122
2.0455,0.034
3.4442,0.044
3.4442,0.04
3.458,0.044
1.0697568,0.019
520.1,1.259
3.0766896,0.0228
2.52221,0.038
986,2
351,1.032
352.3,1
7.8543,0.079
30.93,0.196
456.1,1.25
2.45946,0.035
136.75,0.68
136.97,0.625
5.8881,0.07
